,Tweet,Username,Location,Created_at
114,Reset nms dong masbro . Masa pake indihome malah gak berguna. Kaalah jauh sm paket data @IndiHomeCare @IndiHome .th… https://t.co/JFe17rLntu,beyewe16,,2022-01-26 18:52:47
115,"@SWIESIONG Halo Kak Henny, sebagai penanganan awal silakan pastikan hal berikut:
1. Pastikan sudah benar masuk ke I… https://t.co/sWqbXhgEQn",IndiHomeCare,Indonesia,2022-01-26 18:47:03
116,"Buat kalian yg ingin melebarkan sayap di dunia musik, gabung disini utk road to iKonser https://t.co/ln3FiByCod",twins_del,,2022-01-26 18:36:57
117,"RT @A_florencia_: Siang jarang chat, tapi pas malemnya tlfonan sampe tengah malem, pernah seasik itu ya kita dulu🥀🥺 Biarlah IndiHome menjad…",queen70123376,,2022-01-26 18:35:24
118,"@hellomas4 Halo juga Kak Alex. 

Ada yang bisa Mahes bantu seputar IndiHome ? -Mahes",IndiHomeCare,Indonesia,2022-01-26 18:34:53
119,Memanggil para musisi utk dftr iKonser https://t.co/i7gZgM8wZw,lentera_diarys,,2022-01-26 18:34:03
120,Cuss dftr iKonser gaes utk kalian para musisi https://t.co/VnnICIXxtl,nanana_story,,2022-01-26 18:31:59
121,"Lo yang gangguan @IndiHome gw yang pusing minta izin restart wifi setiap meeting 🤢
Lemot banget buset 🤬",Dea_Astari,Indonesia ,2022-01-26 18:30:00
122,Seru nih join iKonser Fest https://t.co/Ae6SCXRbCE,din2nnaa,Indonesia,2022-01-26 18:28:55
123,indihome gue capek bgt sm lo,stiffwoodies,,2022-01-26 18:16:10
124,Wifi lost terhubung tanpa jaringan &amp; pake data telkomsel juga gak ada sinyal payah bngt dah @IndiHome,AhmadrifaiT,"Bogor, Jawa Barat",2022-01-26 18:15:50
125,@loeyeonjun WKWKWK KAK SETO INDIHOME 😭😭,icemochyii,cons,2022-01-26 18:13:21
126,Makin sengit makin tegang klib mana yang bakalan menang 🤓🧐 https://t.co/2go6aSquvd,immomolly,,2022-01-26 18:08:16
127,@A_florencia_ makasih ya indihome udh jdi saksi bisu dalam kisah cintaku,udhjditmnbulan,di rumah,2022-01-26 18:04:43
128,Pasti pada penasaran kan siapa yang bakalan menang 🤪 https://t.co/PqrbhXKLxf,tataraduta,,2022-01-26 18:04:16
129,Kenapa lagi dah indihome sehari udah kehilangan koneksi 3x,bayuuwidis,Mgl - Jog,2022-01-26 18:03:59
130,"@vwxyzabcdead Baik Sobat. Jika demikian, senang bisa membantu, semoga Kakak sehat selalu, tetap bersemangat, senant… https://t.co/UV2CtUPcBW",IndiHomeCare,Indonesia,2022-01-26 18:03:30
131,Hmmm arema vs persipura siapa nih nanti yang bakalan menang 🙀🙀 https://t.co/s16u9Wojy9,marushibi,,2022-01-26 18:02:10
132,"RT @byzntiumrglz: Taekook!

Jungkook itu anak indihome—indigo maksudnya. Pada satu hari, Jungkook terpaksa harus neduh ke suatu gedung yang…",ucingmls87,,2022-01-26 17:59:47
133,Klub mana ya yang bakalan menang 🤩 https://t.co/PplN3gFzFl,rapendya,,2022-01-26 17:58:58
134,@tanyakanrl kalo di liat dari sisi anak indihome itu daging sapi kak,jocullarr,,2022-01-26 17:51:56
135,Indihome kenapa lagi dah,Gavrillavy,,2022-01-26 17:47:37
136,Seru banget ya ternyata sekarang diadain kuis sama Mimin. Sering sering ya min 👍🤭 https://t.co/T18ZZ64sVO,TakaKrisna1,,2022-01-26 17:44:22
137,Ini wifi kenapa si jaringannya tolong yukkk @IndiHome,abirauliaaa,,2022-01-26 17:42:58
138,Tolong indihome/telkomsel jgn nge ghosting mulu knpa dah.,urfatboiisheree,,2022-01-26 17:42:08
139,Gitu dong min. Ajak kita seru seruan adain kuis terus ya. Jadi gak boring 🤭 https://t.co/IN8SXbNhCc,Adhitz_eza,,2022-01-26 17:39:29
140,"Indihome kenapa sih, main ML aja lag lag bangsat @IndiHomeCare",gurusaitama,,2022-01-26 17:38:36
141,hadeh indihome,melankoliax,jog,2022-01-26 17:38:14
142,"Syg bgt sm indihome, suka bikin gemas",ironmii,"Kalimantan Timur, Indonesia",2022-01-26 17:37:29
143,Kalian yg pake indihome pada bisa buka line ga sih? Kok aku gbs 😭 https://t.co/ibJDf3xKay,ironmii,"Kalimantan Timur, Indonesia",2022-01-26 17:37:28
144,Adain terus Mimin kuisnya biar tambah seru di setiap rabu ada kuis.👍 https://t.co/OOu4uycvWl,Ai__syah,,2022-01-26 17:33:39
145,@mlbbfess Indihome kan lu?,pekacuk_,Kandang Kuda,2022-01-26 17:30:27
146,"Mimin oke banget nih adain kuis di jaman sekarang jadi seru ya , gak monoton berita aja. 🤭 https://t.co/Om6avu2DlU",S_am_udra,,2022-01-26 17:26:58
147,"Woi kenapa dah , orang lg overthinking obat nya ya main hp malah diskonek pagi2 buta gini @IndiHome",qaisshidqi,"Kalimantan Tengah, Indonesia",2022-01-26 17:26:41
148,"RT @A_florencia_: Siang jarang chat, tapi pas malemnya tlfonan sampe tengah malem, pernah seasik itu ya kita dulu🥀🥺 Biarlah IndiHome menjad…",akupamityak,,2022-01-26 17:24:07
149,"Perasaan ku aja atau gimana

Jaringan Telkomsel sama Wifi Indihome Ngdown sampe gak ada sinyalnya sama sekali",M_Arfitroh_R,"Sampit, Kalimantan Tengah",2022-01-26 17:24:00
150,Yuk yuk fokus mata ke arah huruf. Jadi seru ya mengasah otak dan penglihatan 😆 https://t.co/4nxzCyRp6y,_e_z_a_,,2022-01-26 17:20:38
151,@fzjeha Biar kaya anak anak indihome,tartagaliard,Mondstadt,2022-01-26 17:20:15
152,Indihome jam 12 keatas mesti kek tai,tukangpos_,"Kota Surabaya, Jawa Timur",2022-01-26 17:18:37
153,"Pick one yuk, makanan ber-ayam apa yang jadi favorit kamu!

Mimin sih Ayam Taliwang khas Lombok!

Nah, Sobat bisa m… https://t.co/T6yDVMigQh",Muhamma92853407,,2022-01-26 17:17:50
154,Memenuhi kebutuhan IndiHome sobat tanpa harus ke mana-mana. Aplikasi myIndiHome memberi sobat kemudahan dan kenyama… https://t.co/3m5xmF6JVo,Muhamma92853407,,2022-01-26 17:15:53
155,@DianRavi @IndiHome Minhome bisa jelasin ini semua kah? @IndiHome biar pelanggan mimin dan minhome tetap nyaman bersama 🤘🏻,jagoanhosting,Indonesia,2022-01-26 17:14:50
